"sid","pid","cost"
1,102,100.0
1,202,50.0
1,302,40.0
1,402,35.0
1,800,76.0
1,801,74.0
1,802,22.0
1,803,3.0
1,804,60.0
1,805,50.0
1,806,87.0
1,807,45.0
1,808,94.0
1,809,53.0
1,810,28.0
1,811,24.0
1,812,51.0
1,813,3.0
1,814,60.0
1,815,90.0
1,816,8.0
1,817,86.0
1,818,66.0
1,819,26.0
1,820,59.0
1,821,37.0
1,822,81.0
1,823,5.0
1,824,6.0
1,825,60.0
1,826,36.0
1,827,14.0
1,828,59.0
1,829,55.0
1,830,95.0
1,831,9.0
1,832,58.0
1,833,55.0
1,834,59.0
1,835,17.0
1,836,41.0
1,837,7.0
1,838,9.0
1,839,96.0
2,301,30.0
2,401,35.0
2,703,45.0
2,704,120.0
2,800,18.0
2,801,1.0
2,802,63.0
2,803,25.0
2,804,85.0
2,805,49.0
2,806,74.0
2,807,12.0
2,808,73.0
2,809,68.0
2,810,89.0
2,811,86.0
2,812,15.0
2,813,76.0
2,814,60.0
2,815,86.0
2,816,9.0
2,817,65.0
2,818,32.0
2,819,85.0
2,820,49.0
2,821,63.0
2,822,3.0
2,823,96.0
2,824,29.0
2,825,48.0
2,826,77.0
2,827,15.0
2,828,27.0
2,829,77.0
2,830,22.0
2,831,83.0
2,832,2.0
2,833,18.0
2,834,9.0
2,835,63.0
2,836,99.0
2,837,95.0
2,838,97.0
2,839,39.0
3,101,65.0
3,201,55.0
3,703,85.0
3,704,70.0
3,800,37.0
3,801,63.0
3,802,47.0
3,803,81.0
3,804,4.0
3,805,25.0
3,806,80.0
3,807,38.0
3,808,88.0
3,809,3.0
3,810,20.0
3,811,47.0
3,812,19.0
3,813,2.0
3,814,6.0
3,815,70.0
3,816,94.0
3,817,29.0
3,818,60.0
3,819,66.0
3,820,27.0
3,821,34.0
3,822,96.0
3,823,3.0
3,824,46.0
3,825,93.0
3,826,89.0
3,827,41.0
3,828,5.0
3,829,44.0
3,830,97.0
3,831,29.0
3,832,80.0
3,833,83.0
3,834,99.0
3,835,64.0
3,836,2.0
3,837,36.0
3,838,7.0
3,839,63.0
4,301,60.0
4,302,75.0
4,401,80.0
4,402,95.0
4,800,66.0
4,801,95.0
4,802,3.0
4,803,37.0
4,804,88.0
4,805,99.0
4,806,94.0
4,807,98.0
4,808,47.0
4,809,49.0
4,810,68.0
4,811,35.0
4,812,71.0
4,813,93.0
4,814,98.0
4,815,20.0
4,816,3.0
4,817,77.0
4,818,74.0
4,819,35.0
4,820,60.0
4,821,31.0
4,822,6.0
4,823,87.0
4,824,29.0
4,825,39.0
4,826,47.0
4,827,93.0
4,828,22.0
4,829,56.0
4,830,59.0
4,831,83.0
4,832,59.0
4,833,39.0
4,834,35.0
4,835,94.0
4,836,85.0
4,837,31.0
4,838,92.0
4,839,65.0
5,102,60.0
5,201,45.0
5,202,65.0
5,301,90.0
5,800,14.0
5,801,78.0
5,802,93.0
5,803,34.0
5,804,80.0
5,805,15.0
5,806,12.0
5,807,82.0
5,808,100.0
5,809,1.0
5,810,43.0
5,811,79.0
5,812,9.0
5,813,70.0
5,814,17.0
5,815,31.0
5,816,83.0
5,817,1.0
5,818,40.0
5,819,45.0
5,820,1.0
